"Legenda","Relevancia"
"Brasil na #COP27 - O Brasil poderá ser modelo global sobre como utilizar o solo e a terra agrícola como um depósito do carbono em uma agricultura positiva. A afirmação é do professor emérito da Ohio University Dr. Rattan Lal ganhador do Prêmio Nobel da Paz 2007 e do Prêmio mundial da agricultura 2020. A prática de uma agricultura regenerativa e uso de biofertilizantes na opinião de Lal pode fazer com que no futuro parte das terras usadas na agricultura possa ser devolvida à natureza.

 Saiba mais: https://bit.ly/3UF034A","irrelevante"
"Estão abertas as inscrições para 10 cursos na plataforma do Educa +!

Dois destes cursos são inéditos e tratam da temática de Bioeconomia “Patrimônio Genético e Conhecimentos Tradicionais Associados” e “Combate à biopirataria”. 

São 30 mil vagas e as inscrições podem ser realizadas até 23/11.

 Saiba mais: https://bit.ly/3O71xSt","irrelevante"
"Brasil na #COP27 - Óculos de realidade virtual faz sucesso no estande do Brasil na COP27 e leva visitantes para um tour pela Floresta Amazônica. Mais de mil pessoas de mais de 80 países já experimentaram a viagem à maior floresta tropical do planeta durante o evento no Egito.

 Assista o vídeo Amazônia 360 e viva essa experiência: https://bit.ly/3UNBbHV

 O futuro da energia limpa é o presente do Brasil!","irrelevante"
"Há três décadas trabalhando em prol da conservação preservação e do desenvolvimento sustentável.","positivo"
"Resultado de uma parceria entre o MMA @mturismo e @icmbio o manual conta com dados e informações sobre os aspectos históricos das trilhas de longo curso no mundo e no Brasil além de estudos e pesquisas secundárias sobre o perfil do público desse segmento. Traz ainda um levantamento das políticas públicas relacionadas ao Sistema Nacional de Trilhas do Brasil bem como as principais potencialidades desafios e oportunidades para desenvolvimento de produtos turísticos relacionados às Trilhas de Longo Curso.

 Saiba mais: https://bit.ly/3V65IRi","irrelevante"
"As iniciativas que mais se destacaram na Agenda Ambiental na Administração Pública (A3P) serão premiadas na próxima terça-feira (29) a partir das 9h da manhã com transmissão ao vivo pelo YouTube do Ministério do Meio Ambiente (MMA). Ao todo 94 projetos foram inscritos no 9º Prêmio Melhores Práticas de Sustentabilidade na Administração Pública que possui cinco categorias. Acompanhe as redes sociais do MMA e conheça todas as práticas; quem sabe uma delas não pode servir de inspiração para ser aplicada na sua cidade ou no órgão em que você trabalha?

 Acompanhe ao vivo: https://bit.ly/3GIlM7m

#A3P #Sustentabilidade #MMA #MeioAmbiente #Reciclagem #energialimpa","irrelevante"
"A Estratégia Nacional para Conservação de Espécies Ameaçadas de Extinção (Pró-Espécies) do MMA ultrapassou em mais de seis vezes a projeção inicial de sua área de atuação passando de nove milhões para 62 milhões de hectares em 2022. Essa ampliação foi possível graças à conclusão de 11 Planos de Ação Territoriais para Conservação de Espécies Ameaçadas de Extinção (PAT) que detalhou os limites de cada um dos 24 territórios contemplados na iniciativa.

Saiba mais: https://bit.ly/3VmTPWO

 Luiz Filipe Varella; Matheus Volcan; Rodrigo Lopes Ferreira","positivo"
"Durante a 19ª Conferência das Partes da Convenção sobre o Comércio Internacional de Espécies da Fauna e Flora Selvagens em Perigo de Extinção (CITES) no Panamá o Brasil foi proponente de importantes propostas que visam a proteção da biodiversidade. Estiveram nas pautas encabeçadas pelo Brasil as raias de água doce o peixe-zebra o jacaré-de-papo-amarelo as onças e a árvore que deu origem ao nome do nosso país o Pau-brasil. 
“Apresentamos a inclusão da espécie endêmica do país com intuito de fortalecer o controle sobre o comércio e extração ilegal dessa madeira nobre de remanescentes naturais da Mata Atlântica"" explica a secretária de Biodiversidade do MMA Julie Messias.

Saiba mais: https://bit.ly/3GMZHVf","positivo"
"O Ministério do Meio Ambiente premiou iniciativas de todo o país que se destacaram no quesito sustentabilidade. Os vencedores do 9º Prêmio Melhores Práticas de Sustentabilidade na Administração Pública (Prêmio A3P) foram revelados durante a realização do 12° Fórum e 9° Prêmio A3P realizado nesta terça-feira (29). Ao todo 92 projetos foram inscritos nas cinco categorias da premiação que incluem a gestão de resíduos; uso sustentável dos recursos naturais; inovação na gestão pública; destaque da rede A3P; e combate à poluição das águas.

Saiba mais: https://bit.ly/3OOdAV3","positivo"
"A partir de agora os órgãos gestores do Sistema Nacional de Unidades de Conservação da Natureza (SNUC) e a sociedade contam com uma nova plataforma do Cadastro Nacional de Unidades de Conservação (CNUC).

A nova plataforma do CNUC facilita o carregamento de arquivos georreferenciados e em diferentes projeções. Com isso a integração entre o CNUC e outros sistemas do governo federal será facilitada.

Uma das inovações dessa nova versão é com relação às Reservas Particular do Patrimônio Natural (RPPNs) sendo disponibilizado aos proprietários um perfil específico para que eles cadastrem e atualizem as informações sobre suas reservas.

#meioambiente #conservação #sistema #sustentabilidade","positivo"
"Aumento da eficiência a proteção dos direitos dos guardiões da biodiversidade e o fomento à pesquisa são conquistas da Lei Brasileira de Biodiversidade. E foram justamente esses e outros avanços da nossa legislação que despertaram o interesse de autoridades e representantes de diferentes países que assistiram ao painel comandado pelo Brasil durante a 15ª Conferência de Biodiversidade da ONU que acontece em Montreal no Canadá.

#biodiversidade #conservação #COP15 #PatrimônioNatural #PatrimônioGenético #fauna #flora","positivo"
"No evento o Brasil defendeu que o Quadro de Biodiversidade Global (GBF na sigla em inglês) deve ser guiado pelo senso renovado de cooperação e solidariedade internacional. Assim como houve uma defesa enfática da criação de um Fundo Global para o Clima durante a COP27 o Brasil propôs um Fundo Global de Biodiversidade como parte do esforço conjunto entre países desenvolvidos e nações em desenvolvimento para o cumprimento das metas.

“Propomos a criação de um fundo junto a 70 países ligado à convenção e que sirva para atender às particularidades de cada país ao alcance das metas estabelecidas. Fomos todos ambiciosos sobre as metas estabelecidas mas faltou ambição e engajamento dos países desenvolvidos sobre o tema de finanças. O valor apresentado de US$ 200 bilhões até 2025 e US$ 300 bilhões até 2030 não são suficientes para o êxito do Marco Global para a Biodiversidade” afirmou a Secretária de Biodiversidade do Ministério do Meio Ambiente Julie Messias.

 Saiba mais: https://bit.ly/3FIv3dp

#biodiversidade #conservação #COP15 #PatrimônioNatural #PatrimônioGenético #fauna #flora","irrelevante"
"Aguardado desde 2010 foi criado na última quinta-feira (22) pelo Governo Federal o sistema de logística reversa de embalagens de vidro. Decreto assinado pelo presidente Jair Bolsonaro estabelece metas diretrizes e responsabilidades para alavancar a reciclagem no Brasil. 

Confira os benefícios dessa medida:

 aumentará a reciclagem de vidro no país evitando o descarte inadequado no meio ambiente. Anualmente mais de 1 bilhão de garrafas descartáveis tem destinação inadequada no Brasil);

 contribuirá para a criação de empregos verdes preservação de recursos naturais e redução da poluição;

 medida ajuda no combate a doenças como dengue zika chikungunya e febre amarela urbana visto que as garrafas descartadas no meio ambiente ao receber água da chuva se tornam criadouros do mosquito Aedes Aegypti transmissor dessas doenças;

 promoverá aumento da eficiência energética na indústria e redução na emissão de gases de efeito estufa visto que quando o caco é reciclado utiliza 40% menos energia e não emite CO2;

 empresas poderão cumprir suas obrigações de forma simples e desburocratizada por meio do Recicla+ (leilão reverso onde as empresas adquirem certificado de crédito de reciclagem incentivando a reciclagem por meio de renda extra a agentes de reciclagem e operadores);

 reduz custo para os municípios e contribuintes com transporte e aterramento (menos peso no lixo comum) com retorno das embalagens para a reciclagem;

 decreto ajudará a cumprir metas nacionais como as estabelecidas no Plano Nacional de Resíduos Sólidos;

 contribuirá para atendimento de requisitos para acordos multilaterais (OCDE União Europeia etc);

 medida aguardada desde 2010 quando do lançamento da Política Nacional de Resíduos Sólidos representa mais um gol na agenda ambiental do governo federal;

 não representa nenhum custo para o governo e nenhum impacto no orçamento e finanças públicas. As ações serão realizadas pelo setor empresarial como já é feito no caso das embalagens retornáveis e em vários sistemas de logística reversa implantados no país (eletroeletrônicos medicamentos baterias automotivas etc.).

 Saiba mais: https://bit.ly/3WkMiZB","positivo"
"O MMA divulgou o resultado da seleção das instituições que farão parte do Projeto Salas +Verdes. A seleção foi realizada a partir da análise do Projeto Pedagógico submetido com base em critérios relacionados à prática de educação ambiental. A chamada pública teve 86 novas salas selecionadas. 

Acesse o nosso site e confira os selecionados:  https://bit.ly/3GmxDYp","irrelevante"
"RedeTrilhas teve a adesão da primeira trilha de longo curso aquática no Brasil. A rede busca conectar pontos de interesse do patrimônio natural e cultural brasileiro por meio de trilhas de longo curso em todo o país.

Acesse o nosso site e saiba mais sobre a RedeTrilhas:https://bit.ly/3Q5uFuh","positivo"
"Na solenidade a ministra destacou que a política ambiental será prioridade não apenas do MMA mas do governo como um todo e anunciou a criação de novas secretarias bem como a retomada de medidas essenciais para a proteção das florestas da biodiversidade e do desenvolvimento com sustentabilidade econômica social e cultural.

Saiba mais no link da bio!

#meioambiente #florestas #biodiversidade #mudançadoclima #SFB #ANA","positivo"
"O Decreto n° 11.372/23 que entrou em vigor no dia 2 de janeiro traz a reestruturação do Fundo Nacional do Meio Ambiente. Com o decreto do atual Presidente a estrutura passa a ter 21 integrantes retomando a participação de representantes de organizações ambientalistas e incluindo representantes de povos indígenas e de povos e comunidades tradicionais por meio do Ministério dos Povos Indígenas.

O Fundo Nacional do Meio Ambiente foi criado em 1989 com o objetivo desenvolver os projetos que visem ao uso racional e sustentável de recursos naturais incluindo a manutenção melhoria ou recuperação da qualidade ambiental.

Saiba mais no link da bio!","positivo"
"A ministra do Meio Ambiente e Mudança do Clima Marina Silva e a ministra alemã da Cooperação Econômica e Desenvolvimento Svenja Schulze anunciaram nesta segunda-feira (30/1) em Brasília um pacote que inclui o repasse pelo país europeu de 203 milhões de euros (R$ 11 bilhão) para ações socioambientais no Brasil. As medidas que deverão ser iniciadas nos próximos 100 dias tratam de políticas de desenvolvimento sustentável prevenção e combate ao desmatamento inclusão social com base na economia florestal promoção de ações afirmativas para produtos da bioeconomia e proteção de povos indígenas.","positivo"
"Agentes do Ibama iniciaram nesta segunda-feira (6/2) com apoio da Fundação Nacional dos Povos Indígenas (Funai) e da Força Nacional de Segurança Pública ações de fiscalização para proteger indígenas e combater o garimpo ilegal no território Yanomami em Roraima. Até o início da noite desta terça (7/2) haviam sido destruídos um helicóptero um avião um trator de esteira e estruturas de apoio logístico ao garimpo. Também foram apreendidas duas armas e três barcos com cerca de 5 mil litros de combustível.","positivo"
"O IBAMA VOLTOU","positivo"
"A ministra do Meio Ambiente e Mudança do Clima Marina Silva reuniu nesta quarta-feira (8/2) representantes de diversos ministérios e o vice-presidente Geraldo Alckmin para apresentar o novo arcabouço de combate ao desmatamento do governo federal. Foi a primeira reunião da Comissão Interministerial Permanente de Prevenção e Controle do Desmatamento e Queimadas criada pelo Decreto Federal 11.367 de 1º de janeiro.

A comissão será responsável por implementar o Programa de Prevenção e Controle do Desmatamento e Queimadas no Brasil (PPCD). A estrutura inicial foi apresentada no Planalto pelo secretário executivo do MMA João Paulo Capobianco que enfatizou o papel da Casa Civil na coordenação das ações.","positivo"
"""Não vai mais existir garimpo ilegal. Responsáveis serão punidos."" - presidente Lula.","positivo"
"Em comunicado conjunto divulgado nesta sexta-feira (10/2) em Washington nos EUA os presidentes Luiz Inácio Lula da Silva e Joe Biden ressaltaram que o fortalecimento da democracia a promoção do respeito aos direitos humanos e o enfrentamento da crise do clima estão no centro de sua agenda comum.

No documento os EUA anunciaram a intenção de “trabalhar com o Congresso para fornecer recursos para programas de proteção e conservação da Amazônia brasileira incluindo apoio inicial ao Fundo Amazônia e para alavancar investimentos nessa região muito importante”. O fundo estava paralisado desde 2019 com mais de R$ 3 bilhões em caixa após decisão do governo anterior e foi reativado por decreto do presidente Lula em 1º de janeiro.

Foto: Ricardo Stuckert","positivo"
"Com R$ 33 bilhões em caixa o Fundo Amazônia estava parado desde 2019 por decisão do governo anterior que extinguiu seu Comitê Orientador (COFA). O fundo foi reativado após decreto do presidente Luiz Inácio Lula da Silva de 1º de janeiro. A retomada será marcada inicialmente por ações de proteção a povos indígenas e de fortalecimento da fiscalização ambiental.

A política ambiental brasileira voltou” resumiu a ministra do Meio Ambiente e Mudança do Clima Marina Silva após o encontro na sede do Banco Nacional de Desenvolvimento Econômico e Social (BNDES) responsável pela gestão do fundo.

Foto: André Telles/Divulgação BNDES","positivo"
"Link para o decreto: bit.ly/DecretoCONAMA","irrelevante"
"Ibama e PF reforçaram a segurança da base federal na aldeia Palimiú na terra Indígena Yanomami após os ataques de quinta-feira.

A PF enviou agentes do GPI o Grupo de Pronta Intervenção.
Em três semanas foram destruídas 4 aeronaves dezenas de balsas e toneladas de cassiterita.

Os criminosos que atacaram a base tentavam fugir em 7 barcos com cerca de 15 toneladas de cassiterita minério roubado da terra indígena. A carga avaliada em R$ 15 milhão foi identificada por meio de drones operados pelo Ibama. Desde a instalação de uma barreira com cabos de aço no rio Uraricoera no último dia 20 nenhum barco carregado entrou na terra indígena. O ataque foi uma reação à efetividade ação e à retomada do território pelo Estado disse a ministra Marina Silva  A operação não tem prazo para terminar. Acabar com o garimpo ilegal é uma determinação do presidente Lula.","positivo"
"A praia do Sancho no Parque Nacional Marinho de Fernando de Noronha (@icmbionoronha) foi eleita a melhor praia do mundo em 2023 em votação popular. A lista é elaborada com base nas avaliações feitas por visitantes da Unidade.

""Para o ICMBio é muito gratificante saber que por mais um ano a melhor praia do mundo está no Parque Nacional Marinho de Fernando de Noronha. O Sancho reserva a todos uma experiência única: trilhas e mirantes acessíveis falésias águas límpidas e muita vida marinha. Acreditamos que o título revela mais do que a beleza natural mas o serviço de qualidade prestado pelo Parque"" comemorou a chefe do ICMBio Noronha Carla Guaitanele.

O Parque bateu recorde de visitantes em 2022 com quase 130 mil pessoas entre turistas nacionais e estrangeiros. Para realizar uma visita maiores informações podem ser acessadas no site do PNM de Fernando de Noronha.
Veja a matéria completa no link nos stories.

Foto: Carla Guaitanele/ICMBio","irrelevante"
"O @ibamagov inaugurou nesta terça-feira (28/02) a Central de Logística e Apoio do Centro Nacional de Prevenção e Combate aos Incêndios Florestais (Prevfogo). Localizado na área da sede do Instituto em Brasília o novo prédio é composto por sala de monitoramento em tempo real salas de crise e de operações almoxarifado e oficina de equipamentos além de espaços destinados a atividades administrativas.

O projeto das instalações é fruto de um contrato de colaboração financeira assinado em 2014 pelo Ibama e pelo Banco Nacional de Desenvolvimento Econômico e Social (BNDES). A maior parte dos recursos para a realização da obra foi oferecida pelo Fundo Amazônia. A edificação incorpora diversos elementos de sustentabilidade como estação de tratamento e reuso de água aproveitamento da luz solar luminárias com células fotovoltaicas e telhado verde. Todo o processo de construção teve apoio do Exército Brasileiro.

De acordo com a coordenadora-geral do Prevfogo Flávia Leite a central resultará em mais agilidade para a distribuição e manutenção de equipamentos e permitirá reduzir custos de aquisição e prestação de serviços. “Também vai trazer eficiência ao pronto atendimento das demandas principalmente no período considerado crítico para o combate aos incêndios florestais de julho a novembro” disse.

A solenidade de inauguração da Central de Logística e Apoio do Prevfogo foi realizada logo após a posse do presidente do Ibama Rodrigo Agostinho  como parte das comemorações do aniversário de 34 anos do Ibama que contou com a presença da ministra Marina Silva e do Secretário-Executivo do MMA João Paulo Capobianco.","positivo"
"Domingo ensolarado na Terra Indígena Yanomami e seguimos fortalecendo as ações de proteção ao povo que segura o céu.

Em primeiro plano: Marina Silva e o xamã Davi Kopenawa.","positivo"
"Trabalho firme contra o desmatamento!

Na última semana MMA e @mcti realizam o 10° Seminário Técnico-Científico de Análise de Dados do desmatamento na Amazônia Legal.

Foram mais de 12 horas de palestras e discussões que irão embasarar a retomada do plano de combate ao desmatamento da Amazônia. Veja as apresentações na íntegra no YouTube do MMA.

Esta política reduziu as perdas florestais em mais de 80% entre 2004 e 2012 e está voltando.","positivo"
"As mulheres do MMA e do @minc celebraram juntas este dia especial com música e poesia.

#respeitoprasmulheres","irrelevante"
"O @ibamagov destruiu sete aviões e um helicóptero desde o início da retomada do território Yanomami há um mês com apoio da @prfoficial e da @policiafederal. Também foram destruídos pelo menos 140 acampamentos e estruturas de apoio logístico ao garimpo.

No último fim de semana a ministra Marina Silva acompanhou com o líder indígena Davi Kopenawa o trabalho na base federal instalada pelo Ibama com apoio da @funaioficial da Força Nacional de Segurança Pública e das Forças Armadas (@mindefesa) no rio Uraricoera. Foram apreendidas até o momento 19 toneladas de cassiterita extraídas ilegalmente da terra Indígena avaliadas em cerca de R$ 2 milhões.","positivo"
"Quais destes 8 animais da nossa fauna você conhece?

14 de março é o Dia Nacional dos Animais criado para conscientizar as pessoas sobre os cuidados que devem ser dados a eles. O governo federal promoveu avanços na proteção da fauna. Confira alguns deles:

 Revogação de normas que facilitavam o acesso a armas e munições para caçadores atiradores e colecionadores (CACs). A caça é crime no Brasil;

 Retomada do Fundo Amazônia do combate ao desmatamento e ao garimpo ilegal e anúncio dos Planos de Prevenção e Controle do Desmatamento nos Biomas Brasileiros que protegem os hábitats de milhares de espécies inclusive ameaçadas de extinção;

 Proibição do uso de animais em pesquisa para cosméticos perfumes e itens de higiene por iniciativa do Conselho Nacional de Controle de Experimentação Animal;

 No Ministério do Meio Ambiente e Mudança do Clima foi criada a Secretaria Nacional de Biodiversidade Florestas e Direitos Animais e o Departamento de Proteção Defesa e Direitos Animais. Dentre seus objetivos estão a promoção da proteção e direitos animais; elaboração de políticas públicas; articulação com órgãos do Poder Público e sociedade civil; disseminação de boas práticas em temas de defesa da fauna e de garantia dos direitos animais.

A cada ano o @ibamagov devolve à vida livre cerca de 30 mil animais apreendidos resgatados ou entregues espontaneamente pela população. Os bichos após reabilitação nos Centros de Triagem de Animais Silvestres (Cetas) são reintegrados ao seu habitat para que possam povoá-lo e ter qualidade de vida.

Imagens:
1: Andreia Martins/AMLD
2: João Pedro Salgado (@joao.pedro.salgado)
3: Robson Czaban/MMA
4. 5 e 6: Arquivo MMA
7: Carolina Oliveira (@sdocarolina)
8: Luciano Lima (@calyptura)","positivo"
"""A proteção do meio ambiente e a luta contra a emergência climática são mudanças civilizatórias que só estarão completas se acompanhadas de direitos iguais e dignidade para todas e todos."" - @marinasilvaoficial.

Neste 16 de março comemoramos durante o Mês da Mulher o Dia Nacional da Conscientização sobre as Mudanças Climáticas. Uma data para refletir sobre como as mulheres e outros grupos sociais sofrem desproporcionalmente os impactos da degradação ambiental e da mudança do clima.

De acordo com a ministra @cidagmulher ""a combinação de misoginia machismo e racismo com o negacionismo climático e científico representa um projeto devastador para as mulheres”. “É nosso papel inverter essa lógica em prol das diversas mulheres que compõem a sociedade brasileira negras brancas indígenas LBTQIA+ as do campo da cidade e das águas.”

Se não enfrentadas as consequências da mudança do clima vão acelerar os níveis de pobreza e desigualdade. Não é possível falar sobre clima sem enfatizar o papel de protagonismo que as mulheres têm tido no enfrentamento das mudanças climáticas.

O governo federal RESPEITA TODAS AS MULHERES. #RespeitoPrasMulheres #MarçoDasMulheres","irrelevante"
"Hoje no Dia Internacional das Florestas queremos destacar a Floresta Nacional do Tapajós como um exemplo de gestão socioambiental uso sustentável e pesquisa científica. 

A Cooperativa Mista da Flona do Tapajós (Coomflona) é responsável pelo aproveitamento sustentável e comercialização dos recursos florestais da unidade gerando renda para famílias tradicionais da região. 

A produção de móveis artesanais feitos a partir dos galhos das árvores antes considerados resíduos de manejo florestal agora se tornaram móveis de alto valor agregado. 

A partir de parcerias com designers e organizações não governamentais (ONGs) a cooperativa alcança números expressivos e realiza comercialização de forma nacional e internacional. 

Com parcerias com designers e ONGs a cooperativa confeccionou cerca de 9 mil peças no ano passado. 

Parabéns à Flona do Tapajós por mostrar que é possível unir conservação da biodiversidade e desenvolvimento socioeconômico de forma sustentável! 

#DiaInternacionalDasFlorestas #FlonaTapajós #Sustentabilidade #Conservação #Bioeconomia #ICMBio #MMA","irrelevante"
"Hoje é o Dia Internacional das Florestas. 

Esse tema é especialmente importante em um país como o Brasil que abriga diversidade cultural e biológica únicas no mundo.

Para lidar com tamanha responsabilidade o MMA faz um anúncio especial: foi nomeada hoje como secretária Nacional de Biodiversidade Florestas e Direitos Animais a bióloga Rita Mesquita.

Pesquisadora professora e gestora dedicada à Amazônia Rita vai liderar a reconstrução das políticas de gestão da biodiversidade.

""Nesse dia das Florestas recebo com alegria a minha nomeação e agradeço a confiança da ministra Marina Silva"" disse.

""Teremos muito trabalho pela frente mas nossa agenda é uma agenda positiva pautada na construção conjunta de novos parâmetros de desenvolvimento sustentável"".

Rita assume uma secretaria que deverá liderar pautas estratégicas quando falamos de proteger as florestas: restauração ecológica áreas protegidas manejo da biodiversidade animais e geração de renda com floresta em pé.

1  @ibamagov
2  Junio Matos/ @pesquisa_fapesp","positivo"
"A ministra @marinasilvaoficial recebeu nesta terça-feira Jose Fernandez subsecretário de Estado de Crescimento Econômico Energia e Meio Ambiente dos EUA e a embaixadora dos EUA no Brasil Elizabeth Bagley.

No encontro foram discutidas questões de pesca ilegal e poluição por plástico e a cooperação nas áreas de clima e combate ao desmatamento.","positivo"
"A Conferência da @nacoesunidas sobre a Água começou em Nova York nesta quarta-feira Dia Mundial da Água.

O secretário executivo do MMA João Paulo Capobianco chefia a delegação brasileira.

Até sexta-feira serão definidas ações conjuntas para alcançar metas internacionais relacionadas aos recursos hídricos. A Conferência deverá lançar a Agenda de Ação da Água com compromissos voluntários de governos empresas e da sociedade civil.

 @brazil_un","positivo"
"A Noruega vai apoiar os esforços do Brasil para mobilizar novos recursos para o Fundo Amazônia anunciaram os ministros Espen Barth Eide e Marina Silva após encontro em Brasília nesta quarta-feira.

O ministro norueguês destacou que o compromisso do novo governo brasileiro com a proteção da floresta amazônica é inquestionável.

Espen Barth Eide elogiou os resultados da 1ª reunião do Comitê Orientador do Fundo Amazônia paralisado desde 2019 que estabeleceu prioridade no apoio a indígenas e no combate a crimes ambientais. A Noruega é o maior doador do Fundo que tem mais de R$ 3 bilhões em caixa.

""A Noruega está profundamente comprometida em permanecer como um parceiro próximo e de longo prazo do Brasil"" declarou o ministro que ressaltou ainda a retomada do Plano de Prevenção e Controle do Desmatamento na Amazônia (PPCDAm) extinto em 2019.

Leia a declaração conjunta na íntegra no site do MMA (link nos stories).","positivo"
"Hoje é o Dia Mundial da Água. O secretário executivo do MMA João Paulo Capobianco chefia a delegação brasileira na conferência da ONU sobre a água.

O acesso à água e ao saneamento são direitos humanos fundamentais. O governo brasileiro executa estas políticas com participação direta e permanente diálogo com a sociedade civil.","positivo"
"""O Fundo Amazônia é uma invenção brasileira. Gostamos muito do modelo desenvolvido no primeiro mandato de Lula. Vamos continuar o nosso apoio e também tentar mobilizar novos parceiros"" disse o ministro do Clima e Meio Ambiente da Noruega Espen Barth Eide com Marina Silva.","positivo"
"Veja a declaração do secretário executivo do MMA João Paulo Capobianco no segundo dia da Conferência da Água em Nova York. Capobianco é o chefe da delegação brasileira.

A conferência não ocorria desde 1977 e desde quarta-feira debateu ameaças e desafios mundiais da gestão da água.","irrelevante"
"O Ibama e a @policiafederal destruíram três balsas e um rebocador usados por garimpeiros ilegais no rio Boia no entorno das Terras Indígenas Vale do Javari e Rio Biá Amazonas nesta sexta-feira (24/03). 

Após a abordagem criminosos em fuga afundaram uma quarta balsa para tentar evitar sua destruição.","positivo"
"Discurso do secretário executivo do MMA João Paulo Capobianco chefe da delegação brasileira durante a Conferência da @nacoesunidas sobre a Água.","irrelevante"
"A ministra Marina Silva e o ministro Waldez Góes estão em Rio Branco neste domingo (26/3) para acompanhar o trabalho de apoio à população nas áreas alagadas após a enxurrada que atinge o estado do Acre.

Os ministros sobrevoaram locais atingidos pela cheia e se reuniram com técnicos e autoridades locais. Pelo menos 25 mil pessoas estão desabrigadas ou desalojadas. O nível do Rio Acre subiu mais de sete metros.

Marina Silva destacou o trabalho realizado pela Defesa Civil Nacional e a importância da integração com prefeituras e governo do Estado. A ministra reforçou o compromisso do governo Lula com o aprimoramento de sistemas de alerta e monitoramento de áreas de risco. Nesta tarde a comitiva segue para Manaus.

Os ministros percorreram áreas alagadas às margens do Igarapé São Francisco e foram à Escola Sebastião Pedroza que abriga moradores atingidos em Rio Branco (AC).

Segundo o Painel Intergovernamental sobre Mudanças Climáticas (IPCC) há cerca de 33 bilhões de pessoas no mundo em situação muito vulnerável à mudança do clima. Na última década a possibilidade de essas pessoas morrerem em razão de eventos extremos foi 15 vezes maior do que as que vivem em regiões com baixa vulnerabilidade.

 @mdregional_br","negativo"
