['Legenda'],['Relevancia']
"['Brasil', '#', 'COP27', '-', 'Brasil', 'poderá', 'modelo', 'global', 'sobre', 'utilizar', 'solo', 'terra', 'agrícola', 'depósito', 'carbono', 'agricultura', 'positiva', '.', 'afirmação', 'professor', 'emérito', 'Ohio', 'University', 'Dr.', 'Rattan', 'Lal', 'ganhador', 'Prêmio', 'Nobel', 'Paz', '2007', 'Prêmio', 'mundial', 'agricultura', '2020', '.', 'prática', 'agricultura', 'regenerativa', 'uso', 'biofertilizantes', 'opinião', 'Lal', 'pode', 'fazer', 'futuro', 'parte', 'terras', 'usadas', 'agricultura', 'possa', 'devolvida', 'natureza', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3UF034A']",['positivo']
"['abertas', 'inscrições', '10', 'cursos', 'plataforma', 'Educa', '+', '!', 'Dois', 'destes', 'cursos', 'inéditos', 'tratam', 'temática', 'Bioeconomia', '“', 'Patrimônio', 'Genético', 'Conhecimentos', 'Tradicionais', 'Associados', '”', '“', 'Combate', 'biopirataria', '”', '.', '30', 'mil', 'vagas', 'inscrições', 'podem', 'realizadas', '23/11', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3O71xSt']",['positivo']
"['Brasil', '#', 'COP27', '-', 'Óculos', 'realidade', 'virtual', 'faz', 'sucesso', 'estande', 'Brasil', 'COP27', 'leva', 'visitantes', 'tour', 'Floresta', 'Amazônica', '.', 'mil', 'pessoas', '80', 'países', 'experimentaram', 'viagem', 'maior', 'floresta', 'tropical', 'planeta', 'durante', 'evento', 'Egito', '.', 'Assista', 'vídeo', 'Amazônia', '360', 'viva', 'experiência', ':', 'https', ':', '//bit.ly/3UNBbHV', 'futuro', 'energia', 'limpa', 'presente', 'Brasil', '!']",['irrelevante']
"['três', 'décadas', 'trabalhando', 'prol', 'conservação', 'preservação', 'desenvolvimento', 'sustentável', '.']",['positivo']
"['Resultado', 'parceria', 'MMA', '@', 'mturismo', '@', 'icmbio', 'manual', 'conta', 'dados', 'informações', 'sobre', 'aspectos', 'históricos', 'trilhas', 'longo', 'curso', 'mundo', 'Brasil', 'além', 'estudos', 'pesquisas', 'secundárias', 'sobre', 'perfil', 'público', 'desse', 'segmento', '.', 'Traz', 'ainda', 'levantamento', 'políticas', 'públicas', 'relacionadas', 'Sistema', 'Nacional', 'Trilhas', 'Brasil', 'bem', 'principais', 'potencialidades', 'desafios', 'oportunidades', 'desenvolvimento', 'produtos', 'turísticos', 'relacionados', 'Trilhas', 'Longo', 'Curso', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3V65IRi']",['irrelevante']
"['iniciativas', 'destacaram', 'Agenda', 'Ambiental', 'Administração', 'Pública', '(', 'A3P', ')', 'premiadas', 'próxima', 'terça-feira', '(', '29', ')', 'partir', '9h', 'manhã', 'transmissão', 'vivo', 'YouTube', 'Ministério', 'Meio', 'Ambiente', '(', 'MMA', ')', '.', 'todo', '94', 'projetos', 'inscritos', '9º', 'Prêmio', 'Melhores', 'Práticas', 'Sustentabilidade', 'Administração', 'Pública', 'possui', 'cinco', 'categorias', '.', 'Acompanhe', 'redes', 'sociais', 'MMA', 'conheça', 'todas', 'práticas', ';', 'sabe', 'não', 'pode', 'servir', 'inspiração', 'aplicada', 'cidade', 'órgão', 'trabalha', '?', 'Acompanhe', 'vivo', ':', 'https', ':', '//bit.ly/3GIlM7m', '#', 'A3P', '#', 'Sustentabilidade', '#', 'MMA', '#', 'MeioAmbiente', '#', 'Reciclagem', '#', 'energialimpa']",['positivo']
"['Estratégia', 'Nacional', 'Conservação', 'Espécies', 'Ameaçadas', 'Extinção', '(', 'Pró-Espécies', ')', 'MMA', 'ultrapassou', 'seis', 'vezes', 'projeção', 'inicial', 'área', 'atuação', 'passando', 'nove', 'milhões', '62', 'milhões', 'hectares', '2022', '.', 'ampliação', 'possível', 'graças', 'conclusão', '11', 'Planos', 'Ação', 'Territoriais', 'Conservação', 'Espécies', 'Ameaçadas', 'Extinção', '(', 'PAT', ')', 'detalhou', 'limites', 'cada', '24', 'territórios', 'contemplados', 'iniciativa', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3VmTPWO', 'Luiz', 'Filipe', 'Varella', ';', 'Matheus', 'Volcan', ';', 'Rodrigo', 'Lopes', 'Ferreira']",['positivo']
"['Durante', '19ª', 'Conferência', 'Partes', 'Convenção', 'sobre', 'Comércio', 'Internacional', 'Espécies', 'Fauna', 'Flora', 'Selvagens', 'Perigo', 'Extinção', '(', 'CITES', ')', 'Panamá', 'Brasil', 'proponente', 'importantes', 'propostas', 'visam', 'proteção', 'biodiversidade', '.', 'pautas', 'encabeçadas', 'Brasil', 'raias', 'água', 'doce', 'peixe-zebra', 'jacaré-de-papo-amarelo', 'onças', 'árvore', 'deu', 'origem', 'nome', 'país', 'Pau-brasil', '.', '“', 'Apresentamos', 'inclusão', 'espécie', 'endêmica', 'país', 'intuito', 'fortalecer', 'controle', 'sobre', 'comércio', 'extração', 'ilegal', 'dessa', 'madeira', 'nobre', 'remanescentes', 'naturais', 'Mata', 'Atlântica', ""''"", 'explica', 'secretária', 'Biodiversidade', 'MMA', 'Julie', 'Messias', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3GMZHVf']",['irrelevante']
"['Ministério', 'Meio', 'Ambiente', 'premiou', 'iniciativas', 'todo', 'país', 'destacaram', 'quesito', 'sustentabilidade', '.', 'vencedores', '9º', 'Prêmio', 'Melhores', 'Práticas', 'Sustentabilidade', 'Administração', 'Pública', '(', 'Prêmio', 'A3P', ')', 'revelados', 'durante', 'realização', '12°', 'Fórum', '9°', 'Prêmio', 'A3P', 'realizado', 'nesta', 'terça-feira', '(', '29', ')', '.', 'todo', '92', 'projetos', 'inscritos', 'cinco', 'categorias', 'premiação', 'incluem', 'gestão', 'resíduos', ';', 'uso', 'sustentável', 'recursos', 'naturais', ';', 'inovação', 'gestão', 'pública', ';', 'destaque', 'rede', 'A3P', ';', 'combate', 'poluição', 'águas', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3OOdAV3']",['irrelevante']
"['partir', 'agora', 'órgãos', 'gestores', 'Sistema', 'Nacional', 'Unidades', 'Conservação', 'Natureza', '(', 'SNUC', ')', 'sociedade', 'contam', 'nova', 'plataforma', 'Cadastro', 'Nacional', 'Unidades', 'Conservação', '(', 'CNUC', ')', '.', 'nova', 'plataforma', 'CNUC', 'facilita', 'carregamento', 'arquivos', 'georreferenciados', 'diferentes', 'projeções', '.', 'integração', 'CNUC', 'outros', 'sistemas', 'governo', 'federal', 'facilitada', '.', 'inovações', 'dessa', 'nova', 'versão', 'relação', 'Reservas', 'Particular', 'Patrimônio', 'Natural', '(', 'RPPNs', ')', 'sendo', 'disponibilizado', 'proprietários', 'perfil', 'específico', 'cadastrem', 'atualizem', 'informações', 'sobre', 'reservas', '.', '#', 'meioambiente', '#', 'conservação', '#', 'sistema', '#', 'sustentabilidade']",['positivo']
"['Aumento', 'eficiência', 'proteção', 'direitos', 'guardiões', 'biodiversidade', 'fomento', 'pesquisa', 'conquistas', 'Lei', 'Brasileira', 'Biodiversidade', '.', 'justamente', 'outros', 'avanços', 'legislação', 'despertaram', 'interesse', 'autoridades', 'representantes', 'diferentes', 'países', 'assistiram', 'painel', 'comandado', 'Brasil', 'durante', '15ª', 'Conferência', 'Biodiversidade', 'ONU', 'acontece', 'Montreal', 'Canadá', '.', '#', 'biodiversidade', '#', 'conservação', '#', 'COP15', '#', 'PatrimônioNatural', '#', 'PatrimônioGenético', '#', 'fauna', '#', 'flora']",['irrelevante']
"['evento', 'Brasil', 'defendeu', 'Quadro', 'Biodiversidade', 'Global', '(', 'GBF', 'sigla', 'inglês', ')', 'deve', 'guiado', 'senso', 'renovado', 'cooperação', 'solidariedade', 'internacional', '.', 'Assim', 'defesa', 'enfática', 'criação', 'Fundo', 'Global', 'Clima', 'durante', 'COP27', 'Brasil', 'propôs', 'Fundo', 'Global', 'Biodiversidade', 'parte', 'esforço', 'conjunto', 'países', 'desenvolvidos', 'nações', 'desenvolvimento', 'cumprimento', 'metas', '.', '“', 'Propomos', 'criação', 'fundo', 'junto', '70', 'países', 'ligado', 'convenção', 'sirva', 'atender', 'particularidades', 'cada', 'país', 'alcance', 'metas', 'estabelecidas', '.', 'todos', 'ambiciosos', 'sobre', 'metas', 'estabelecidas', 'faltou', 'ambição', 'engajamento', 'países', 'desenvolvidos', 'sobre', 'tema', 'finanças', '.', 'valor', 'apresentado', 'US', '$', '200', 'bilhões', '2025', 'US', '$', '300', 'bilhões', '2030', 'não', 'suficientes', 'êxito', 'Marco', 'Global', 'Biodiversidade', '”', 'afirmou', 'Secretária', 'Biodiversidade', 'Ministério', 'Meio', 'Ambiente', 'Julie', 'Messias', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3FIv3dp', '#', 'biodiversidade', '#', 'conservação', '#', 'COP15', '#', 'PatrimônioNatural', '#', 'PatrimônioGenético', '#', 'fauna', '#', 'flora']",['irrelevante']
"['Aguardado', 'desde', '2010', 'criado', 'última', 'quinta-feira', '(', '22', ')', 'Governo', 'Federal', 'sistema', 'logística', 'reversa', 'embalagens', 'vidro', '.', 'Decreto', 'assinado', 'presidente', 'Jair', 'Bolsonaro', 'estabelece', 'metas', 'diretrizes', 'responsabilidades', 'alavancar', 'reciclagem', 'Brasil', '.', 'Confira', 'benefícios', 'dessa', 'medida', ':', 'aumentará', 'reciclagem', 'vidro', 'país', 'evitando', 'descarte', 'inadequado', 'meio', 'ambiente', '.', 'Anualmente', '1', 'bilhão', 'garrafas', 'descartáveis', 'destinação', 'inadequada', 'Brasil', ')', ';', 'contribuirá', 'criação', 'empregos', 'verdes', 'preservação', 'recursos', 'naturais', 'redução', 'poluição', ';', 'medida', 'ajuda', 'combate', 'doenças', 'dengue', 'zika', 'chikungunya', 'febre', 'amarela', 'urbana', 'visto', 'garrafas', 'descartadas', 'meio', 'ambiente', 'receber', 'água', 'chuva', 'tornam', 'criadouros', 'mosquito', 'Aedes', 'Aegypti', 'transmissor', 'dessas', 'doenças', ';', 'promoverá', 'aumento', 'eficiência', 'energética', 'indústria', 'redução', 'emissão', 'gases', 'efeito', 'estufa', 'visto', 'caco', 'reciclado', 'utiliza', '40', '%', 'menos', 'energia', 'não', 'emite', 'CO2', ';', 'empresas', 'poderão', 'cumprir', 'obrigações', 'forma', 'simples', 'desburocratizada', 'meio', 'Recicla+', '(', 'leilão', 'reverso', 'onde', 'empresas', 'adquirem', 'certificado', 'crédito', 'reciclagem', 'incentivando', 'reciclagem', 'meio', 'renda', 'extra', 'agentes', 'reciclagem', 'operadores', ')', ';', 'reduz', 'custo', 'municípios', 'contribuintes', 'transporte', 'aterramento', '(', 'menos', 'peso', 'lixo', 'comum', ')', 'retorno', 'embalagens', 'reciclagem', ';', 'decreto', 'ajudará', 'cumprir', 'metas', 'nacionais', 'estabelecidas', 'Plano', 'Nacional', 'Resíduos', 'Sólidos', ';', 'contribuirá', 'atendimento', 'requisitos', 'acordos', 'multilaterais', '(', 'OCDE', 'União', 'Europeia', 'etc', ')', ';', 'medida', 'aguardada', 'desde', '2010', 'lançamento', 'Política', 'Nacional', 'Resíduos', 'Sólidos', 'representa', 'gol', 'agenda', 'ambiental', 'governo', 'federal', ';', 'não', 'representa', 'nenhum', 'custo', 'governo', 'nenhum', 'impacto', 'orçamento', 'finanças', 'públicas', '.', 'ações', 'realizadas', 'setor', 'empresarial', 'feito', 'caso', 'embalagens', 'retornáveis', 'vários', 'sistemas', 'logística', 'reversa', 'implantados', 'país', '(', 'eletroeletrônicos', 'medicamentos', 'baterias', 'automotivas', 'etc.', ')', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3WkMiZB']",['positivo']
"['MMA', 'divulgou', 'resultado', 'seleção', 'instituições', 'farão', 'parte', 'Projeto', 'Salas', '+Verdes', '.', 'seleção', 'realizada', 'partir', 'análise', 'Projeto', 'Pedagógico', 'submetido', 'base', 'critérios', 'relacionados', 'prática', 'educação', 'ambiental', '.', 'chamada', 'pública', '86', 'novas', 'salas', 'selecionadas', '.', 'Acesse', 'site', 'confira', 'selecionados', ':', 'https', ':', '//bit.ly/3GmxDYp']",['positivo']
"['RedeTrilhas', 'adesão', 'primeira', 'trilha', 'longo', 'curso', 'aquática', 'Brasil', '.', 'rede', 'busca', 'conectar', 'pontos', 'interesse', 'patrimônio', 'natural', 'cultural', 'brasileiro', 'meio', 'trilhas', 'longo', 'curso', 'todo', 'país', '.', 'Acesse', 'site', 'saiba', 'sobre', 'RedeTrilhas', ':', 'https', ':', '//bit.ly/3Q5uFuh']",['positivo']
"['solenidade', 'ministra', 'destacou', 'política', 'ambiental', 'prioridade', 'não', 'apenas', 'MMA', 'governo', 'todo', 'anunciou', 'criação', 'novas', 'secretarias', 'bem', 'retomada', 'medidas', 'essenciais', 'proteção', 'florestas', 'biodiversidade', 'desenvolvimento', 'sustentabilidade', 'econômica', 'social', 'cultural', '.', 'Saiba', 'link', 'bio', '!', '#', 'meioambiente', '#', 'florestas', '#', 'biodiversidade', '#', 'mudançadoclima', '#', 'SFB', '#', 'ANA']",['positivo']
"['Decreto', 'n°', '11.372/23', 'entrou', 'vigor', 'dia', '2', 'janeiro', 'traz', 'reestruturação', 'Fundo', 'Nacional', 'Meio', 'Ambiente', '.', 'decreto', 'atual', 'Presidente', 'estrutura', 'passa', 'ter', '21', 'integrantes', 'retomando', 'participação', 'representantes', 'organizações', 'ambientalistas', 'incluindo', 'representantes', 'povos', 'indígenas', 'povos', 'comunidades', 'tradicionais', 'meio', 'Ministério', 'Povos', 'Indígenas', '.', 'Fundo', 'Nacional', 'Meio', 'Ambiente', 'criado', '1989', 'objetivo', 'desenvolver', 'projetos', 'visem', 'uso', 'racional', 'sustentável', 'recursos', 'naturais', 'incluindo', 'manutenção', 'melhoria', 'recuperação', 'qualidade', 'ambiental', '.', 'Saiba', 'link', 'bio', '!']",['positivo']
"['ministra', 'Meio', 'Ambiente', 'Mudança', 'Clima', 'Marina', 'Silva', 'ministra', 'alemã', 'Cooperação', 'Econômica', 'Desenvolvimento', 'Svenja', 'Schulze', 'anunciaram', 'nesta', 'segunda-feira', '(', '30/1', ')', 'Brasília', 'pacote', 'inclui', 'repasse', 'país', 'europeu', '203', 'milhões', 'euros', '(', 'R', '$', '11', 'bilhão', ')', 'ações', 'socioambientais', 'Brasil', '.', 'medidas', 'deverão', 'iniciadas', 'próximos', '100', 'dias', 'tratam', 'políticas', 'desenvolvimento', 'sustentável', 'prevenção', 'combate', 'desmatamento', 'inclusão', 'social', 'base', 'economia', 'florestal', 'promoção', 'ações', 'afirmativas', 'produtos', 'bioeconomia', 'proteção', 'povos', 'indígenas', '.']",['positivo']
"['Agentes', 'Ibama', 'iniciaram', 'nesta', 'segunda-feira', '(', '6/2', ')', 'apoio', 'Fundação', 'Nacional', 'Povos', 'Indígenas', '(', 'Funai', ')', 'Força', 'Nacional', 'Segurança', 'Pública', 'ações', 'fiscalização', 'proteger', 'indígenas', 'combater', 'garimpo', 'ilegal', 'território', 'Yanomami', 'Roraima', '.', 'início', 'noite', 'desta', 'terça', '(', '7/2', ')', 'haviam', 'sido', 'destruídos', 'helicóptero', 'avião', 'trator', 'esteira', 'estruturas', 'apoio', 'logístico', 'garimpo', '.', 'apreendidas', 'duas', 'armas', 'três', 'barcos', 'cerca', '5', 'mil', 'litros', 'combustível', '.']",['positivo']
"['IBAMA', 'VOLTOU']",['positivo']
"['ministra', 'Meio', 'Ambiente', 'Mudança', 'Clima', 'Marina', 'Silva', 'reuniu', 'nesta', 'quarta-feira', '(', '8/2', ')', 'representantes', 'diversos', 'ministérios', 'vice-presidente', 'Geraldo', 'Alckmin', 'apresentar', 'novo', 'arcabouço', 'combate', 'desmatamento', 'governo', 'federal', '.', 'primeira', 'reunião', 'Comissão', 'Interministerial', 'Permanente', 'Prevenção', 'Controle', 'Desmatamento', 'Queimadas', 'criada', 'Decreto', 'Federal', '11.367', '1º', 'janeiro', '.', 'comissão', 'responsável', 'implementar', 'Programa', 'Prevenção', 'Controle', 'Desmatamento', 'Queimadas', 'Brasil', '(', 'PPCD', ')', '.', 'estrutura', 'inicial', 'apresentada', 'Planalto', 'secretário', 'executivo', 'MMA', 'João', 'Paulo', 'Capobianco', 'enfatizou', 'papel', 'Casa', 'Civil', 'coordenação', 'ações', '.']",['positivo']
"['``', 'Não', 'vai', 'existir', 'garimpo', 'ilegal', '.', 'Responsáveis', 'punidos', '.', ""''"", '-', 'presidente', 'Lula', '.']",['positivo']
"['comunicado', 'conjunto', 'divulgado', 'nesta', 'sexta-feira', '(', '10/2', ')', 'Washington', 'EUA', 'presidentes', 'Luiz', 'Inácio', 'Lula', 'Silva', 'Joe', 'Biden', 'ressaltaram', 'fortalecimento', 'democracia', 'promoção', 'respeito', 'direitos', 'humanos', 'enfrentamento', 'crise', 'clima', 'centro', 'agenda', 'comum', '.', 'documento', 'EUA', 'anunciaram', 'intenção', '“', 'trabalhar', 'Congresso', 'fornecer', 'recursos', 'programas', 'proteção', 'conservação', 'Amazônia', 'brasileira', 'incluindo', 'apoio', 'inicial', 'Fundo', 'Amazônia', 'alavancar', 'investimentos', 'nessa', 'região', 'importante', '”', '.', 'fundo', 'paralisado', 'desde', '2019', 'R', '$', '3', 'bilhões', 'caixa', 'após', 'decisão', 'governo', 'anterior', 'reativado', 'decreto', 'presidente', 'Lula', '1º', 'janeiro', '.', 'Foto', ':', 'Ricardo', 'Stuckert']",['positivo']
"['R', '$', '33', 'bilhões', 'caixa', 'Fundo', 'Amazônia', 'parado', 'desde', '2019', 'decisão', 'governo', 'anterior', 'extinguiu', 'Comitê', 'Orientador', '(', 'COFA', ')', '.', 'fundo', 'reativado', 'após', 'decreto', 'presidente', 'Luiz', 'Inácio', 'Lula', 'Silva', '1º', 'janeiro', '.', 'retomada', 'marcada', 'inicialmente', 'ações', 'proteção', 'povos', 'indígenas', 'fortalecimento', 'fiscalização', 'ambiental', '.', 'política', 'ambiental', 'brasileira', 'voltou', '”', 'resumiu', 'ministra', 'Meio', 'Ambiente', 'Mudança', 'Clima', 'Marina', 'Silva', 'após', 'encontro', 'sede', 'Banco', 'Nacional', 'Desenvolvimento', 'Econômico', 'Social', '(', 'BNDES', ')', 'responsável', 'gestão', 'fundo', '.', 'Foto', ':', 'André', 'Telles/Divulgação', 'BNDES']",['positivo']
"['Link', 'decreto', ':', 'bit.ly/DecretoCONAMA']",['positivo']
"['Ibama', 'PF', 'reforçaram', 'segurança', 'base', 'federal', 'aldeia', 'Palimiú', 'terra', 'Indígena', 'Yanomami', 'após', 'ataques', 'quinta-feira', '.', 'PF', 'enviou', 'agentes', 'GPI', 'Grupo', 'Pronta', 'Intervenção', '.', 'três', 'semanas', 'destruídas', '4', 'aeronaves', 'dezenas', 'balsas', 'toneladas', 'cassiterita', '.', 'criminosos', 'atacaram', 'base', 'tentavam', 'fugir', '7', 'barcos', 'cerca', '15', 'toneladas', 'cassiterita', 'minério', 'roubado', 'terra', 'indígena', '.', 'carga', 'avaliada', 'R', '$', '15', 'milhão', 'identificada', 'meio', 'drones', 'operados', 'Ibama', '.', 'Desde', 'instalação', 'barreira', 'cabos', 'aço', 'rio', 'Uraricoera', 'último', 'dia', '20', 'nenhum', 'barco', 'carregado', 'entrou', 'terra', 'indígena', '.', 'ataque', 'reação', 'efetividade', 'ação', 'retomada', 'território', 'Estado', 'disse', 'ministra', 'Marina', 'Silva', 'operação', 'não', 'prazo', 'terminar', '.', 'Acabar', 'garimpo', 'ilegal', 'determinação', 'presidente', 'Lula', '.']",['positivo']
"['praia', 'Sancho', 'Parque', 'Nacional', 'Marinho', 'Fernando', 'Noronha', '(', '@', 'icmbionoronha', ')', 'eleita', 'melhor', 'praia', 'mundo', '2023', 'votação', 'popular', '.', 'lista', 'elaborada', 'base', 'avaliações', 'feitas', 'visitantes', 'Unidade', '.', '``', 'ICMBio', 'gratificante', 'saber', 'ano', 'melhor', 'praia', 'mundo', 'Parque', 'Nacional', 'Marinho', 'Fernando', 'Noronha', '.', 'Sancho', 'reserva', 'todos', 'experiência', 'única', ':', 'trilhas', 'mirantes', 'acessíveis', 'falésias', 'águas', 'límpidas', 'muita', 'vida', 'marinha', '.', 'Acreditamos', 'título', 'revela', 'beleza', 'natural', 'serviço', 'qualidade', 'prestado', 'Parque', ""''"", 'comemorou', 'chefe', 'ICMBio', 'Noronha', 'Carla', 'Guaitanele', '.', 'Parque', 'bateu', 'recorde', 'visitantes', '2022', 'quase', '130', 'mil', 'pessoas', 'turistas', 'nacionais', 'estrangeiros', '.', 'realizar', 'visita', 'maiores', 'informações', 'podem', 'acessadas', 'site', 'PNM', 'Fernando', 'Noronha', '.', 'Veja', 'matéria', 'completa', 'link', 'stories', '.', 'Foto', ':', 'Carla', 'Guaitanele/ICMBio']",['irrelevante']
