"Post","Perfil","Tipo","Assunto","Positvo"
"BORA PRO PESCAN | A TV Anhanguera exibiu  na última segunda-feira (26/02)  uma chamada para exposição sobre plantas do Cerrado e polinização que acontece no Parque Estadual da Serra de Caldas Novas (Pescan). 

A mostra acontece no museu do parque  que também preparou uma cartilha com ilustrações e informações para ser distribuída aos visitantes.

A exposição e a cartilha são resultado de pesquisas que aconteceram em 2019 e 2020. cujo objeto foi a flora do Pescan. As cartilhas estão em fase de impressão e serão distribuídas ao visitantes  porém a versão online já esta disponível no site da Semad. Banners serão exibidos no museu do parque.

“O objetivo é divulgar a rica biodiversidade da flora e seus polinizadores presentes no Pescan  destacando a importância desses ecossistemas”  afirma Maurício Vianna Tambellini  servidor da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável de Goiás (Semad) e chefe do Pescan.

A organização é da pesquisadora Renata Trevizan  aluna de doutorado da Universidade Federal de Uberlândia (UFU)  com contribuições de Isabela Batista Ávila (aluna de graduação)  do professor Paulo Eugênio Oliveira  de Maurício Tambellini  de Anna Cecília dos Santos de Souza e de Ângela Beatriz Pomatti.

A exposição é gratuita e tem duração indefinida. Imperdível. 

@pesj_serradejaragua @m.moura76 @erickolailat @caiocns @bento_jrocha @robsondisarz @jorgewerneck @andrea_vulcanis @parquealtamiro @jaqueramosbio @inararibas @parque_mata_atlantica @pep_pireneus @pearaguaia123 @peap_aguasdoparaiso @peal_aguaslindas @parqueserradouradaoficial @serra_de_caldas_novas_pescan @mauricio_v_t
","semadgoias","informativo","meio-ambiente","sim"
"LOTEAMENTOS IRREGULARES | A secretária de Estado de Meio Ambiente e Desenvolvimento Sustentável de Goiás  Andréa Vulcanis  leva o debate sobre loteamentos irregulares e sítios de recreio ao Senado nesta terça-feira (27/02)  em audiência marcada para as 9h30. Ela falará em nome da Associação Brasileira de Entidades Estaduais do Meio Ambiente (Abema).

A apresentação acontece no âmbito da Comissão de Desenvolvimento Regional e Turismo (CDR). O propósito da audiência é o de discutir o projeto de lei nº 1869/2022  que cria instrumentos para a constituição de cinturões verdes em projetos de ampliação de perímetros urbanos no País.

Esse PL foi apresentado pela senadora Teresa Leitão e visa inserir os cinturões verdes na legislação nacional  como instrumentos de resiliência e adaptação das cidades frente à mudança do clima e como estratégia de proteção ao meio ambiente.

Sítios de recreio
O debate criado pelo projeto que tramita no Senado tem interface com a proposta do Governo de Goiás de estabelecer regras de licenciamento para os chamados “sítios de recreio”.

“Sítios de recreio” são loteamentos feitos na zona rural  mas com fins urbanos (especialmente o lazer). São chamados também de chácaras de descanso ou ecovilas. Quando feitos em desconformidade  agravam o desmatamento  ameaçam a fauna  pressionam a rede de saúde pública  geram acúmulo de lixo  alagamento e causam outros problemas.

A proposta da Semad visa preencher o vácuo legislativo referente às zonas de transição entre o rural e o urbano – um dado da realidade que a legislação federal ignora  no momento.

“Em Goiás  levantamos a discussão com objetivo de evitar que os sítios de recreio se espraiem pela zona rural pelo mero interesse especulatório dos proprietários de terras  atrelando a implantação dessas tipologias de ocupação do território à devida especificação das áreas hábeis pela lei municipal”  explica a secretária.

@andrea_vulcanis @robsondisarz @jorgewerneck @bento_jrocha
","semadgoias","politica","meio-ambiente","não"
"BORBOLETAS NO PEAMP | Temos registro inédito no Parque Estadual Altamiro de Moura Pacheco (Peamp)!

Essa é a Morpho helenor ssp. uberabenses  que foi vista e fotografada pelo @ivo_carlos_zecchin

Ressaltando que esse foi o primeiro registro confirmado da subespécie no INaturalist.

Esse achado 'de milhões' foi feito na Trilha do Tamanduá  do Peamp.

A borboleta azul Morpho helenor ssp. uberabensis é conhecida popularmente por Capitão-do-mato ou Borboleta-coruja. Pode medir até 7 5cm de envergadura e tem uma faixa azul metálica na face dorsal das asas (a face oposta das asas possui manchas em forma de olhos).

Normalmente pode ser observada quando procura alimento em meio à mata  próximo a córregos e rios. Também se alimenta de seiva de árvores e de frutos em fermentação. São borboletas de hábito diurno e bastante territorialistas.

O nome popular de Capitão-do-mato advém do seu comportamento de voar erraticamente pelas matas e trilhas  o que lembraria a figura do perseguidor de escravos fugitivos à época da escravidão.

Há cerca de 150 mil espécies de borboletas no mundo. No Brasil já foram descritas mais de 3.500 espécies  sendo que 57 estão ameaçadas de extinção.

@pesj_serradejaragua @m.moura76 @erickolailat @caiocns @bento_jrocha @robsondisarz @jorgewerneck @andrea_vulcanis @parquealtamiro @jaqueramosbio @inararibas @parque_mata_atlantica @pep_pireneus @pearaguaia123 @peap_aguasdoparaiso @peal_aguaslindas @parqueserradouradaoficial @serra_de_caldas_novas_pescan @mauricio_v_t
","semadgoias","informativo","fauna","sim"
"FIM DOS LIXÕES | Esses são alguns dos mapas que orientam a equipe da Semad dedicada a orientar os municípios de Goiás na missão de encerrar os lixões até agosto de 2024. 

Eles trazem o panorama completo da situação dos resíduos sólidos no Estado. Já no primeiro mapa  você encontra a relação de todos os aterros sanitários licenciados que aqui funcionam.

O decreto 10.367/2023 dividiu os 264 municípios de Goiás em quatro grupos (ou tipos). Foi esse o critério que utilizamos para produzir os mapas. 

A distância de cada um deles com relação a um aterro licenciado é uma informação vital nessa primeira fase  em que a prioridade é encerrar os lixões e encaminhar os resíduos para disposição ambientalmente adequada. 

A fase final (ou definitiva) será a criação de aterros regionalizados  que vão atender grupos de municípios ao mesmo tempo e que terão governança compartilhada entre as prefeituras atendidas e o governo do Estado. 

Dúvidas? Deixe aí nos comentários que a gente responde. 

@kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury @bento_jrocha @mpdegoias @andrea_vulcanis @jorgewerneck @fernandaandreozi @robsondisarz @natalialino @narachavesx
","semadgoias","politica","poluição","sim"
"A Semad e o Escritório Executivo de Projetos (EEP) do Programa Juntos pelo Araguaia (JPA) apresentam o Lote Mínimo  um estudo técnico inédito no Brasil que traz a público dados nunca contabilizados e disponibilizados para a sociedade a respeito do custo real para a restauração ambiental de áreas degradadas  por meio da regeneração florestal  mobilização social e institucional. 

O tema será colocado em pauta para análise de universidades  entidades  instituições investidoras e executoras  poder público e demais interessados.

A apresentação do Lote Mínimo será realizada em evento especial no dia 13 de março de 2024  quarta-feira  às 14h  na Federação das Indústrias do Estado de Goiás (Fieg) - Casa da Indústria  Salão de Eventos Daniel Viana  4° andar  Avenida Araguaia  nº 1.544 - Edifício Albano Franco  Vila Nova  Goiânia (GO). 

Para fazer a inscrição  acesse o site www.juntospeloaraguaia.org.br. 

Maiores informações:
Telefones: (62) 3091-6285 / (62) 9660-6729
E-mail: administrativo.go@juntospeloaraguaia.org.br
#ApresentaçãoDoLoteMínimo
#JuntosPeloAraguaia
#JPA
#Programajpa
#EscritórioExecutivoDeProjetos
#SemadGO
#GovernoDeGoiás
#SemaMT
#GovernoDeMatoGrosso
","semadgoias","campanha","fluvial","sim"
"Alô Alò servidores da Semad  temos um recado especial para vocês.

Já está disponível nosso formulário destinado à promoção da acessibilidade de Pessoas com Deficiência (PcD) no âmbito da Secretaria.

O objetivo é promover a igualdade de condições em relação aos demais servidores  buscando a adptação de espaços físicos  adequação de linguagem e adoção de tecnologias  bem como  indentificar problemas discriminatórios.

Vocês pertencem e essa contribuição  faz toda a diferença!

https://forms.gle/upxXwqCXUSrmk9FF8
","semadgoias","informativo","acessibilidade","sim"
"O evento ""Diálogos sobre Logística Reversa no Centro-Oeste""  organizado pela Secretaria de Estado do Meio Ambiente e Desenvolvimento Sustentável de Goiás (Semad)  tem como principal objetivo promover discussões e compartilhar experiências sobre a implementação da logística reversa na região. Por meio de palestras e debates  busca-se conscientizar os participantes sobre a importância da logística reversa para a preservação ambiental e o desenvolvimento sustentável  além de destacar estratégias e desafios enfrentados na sua efetivação.

O evento se inicia às 9h e será transmitido on-line via zoom ou pelo youtube ofical da @semadgoias. 

Se liga nos temas das palestras e aproveite essa oportunidade única!
• Perspectivas da Logística Reversa no Estado de Goiás
• Experiências e Desafios na implementação da logística reversa
• O papel das entidades gestoras na efetivação da logística reversa
• Importância da verificação independente na logística reversa
• Experiências da implementação no Mato Grosso

@kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury  @bento_jrocha @mpdegoias  @andrea_vulcanis @jorgewerneck @fernandaandreozi
","semadgoias","campanha","sustentabilidade","sim"
"RESÍDUOS SÓLIDOS | Nesta sexta-feira  a Semad marcou presença na inauguração do primeiro aterro sanitário de Goiás a iniciar as operações após a implementação do Programa Lixão Zero  que tem como foco a disposição final ambientalmente adequada dos resíduos sólidos. O aterro do Consórcio Intermunicipal do Sudeste Goiano (Cimosu) está localizado no município de Cumari e vai atender ainda outras três cidades: Nova Aurora  Goiandira e Anhanguera.

Este evento representa um marco significativo para a gestão ambiental no Estado  garantindo que todos esses municípios possam dispor de seus resíduos sólidos urbanos de maneira adequada em um local devidamente licenciado.

Além da equipe da Semad  estiveram presentes na inauguração prefeitos  vice-prefeitos e diversos secretários das cidades envolvidas.

Com a abertura do aterro sanitário  que abrange uma área total de 48 4 mil metros quadrados  surgem novas oportunidades para uma gestão ambiental mais eficaz e responsável  indicando um futuro mais promissor e sustentável para essa região do Sudeste Goiano.

Com a operação do aterro sanitário  não apenas se elimina a prática ultrapassada dos lixões  mas também se abre caminho para a implementação de políticas mais abrangentes de reciclagem  compostagem e redução de resíduos.

@kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury @bento_jrocha @andrea_vulcanis @cimosu.goias @smsgoiandira @secmeioambientecumari
","semadgoias","politica","poluição","sim"
"Alô empresários goianos...
Temos um convite  mega especial para vocês! Vamos falar sobre logística reversa?

O evento ""Diálogos sobre Logística Reversa no Centro-Oeste"" tem como principal objetivo promover discussões e compartilhar experiências sobre a implementação da logística reversa na região.

Com vários palestrantes  nossa proposta é conscientizar os participantes sobre a importância da logística reversa para a preservação ambiental e o desenvolvimento sustentável  além de destacar estratégias e desafios enfrentados na sua efetivação

O evento acontecerá dia 27 de fevereiro de forma 100% on-line e gratuita. Vamos iniciar as 9h e esperamos vocês!

Entrar na Reunião Zoom:
https://us02web.zoom.us/j/84588993884?pwd=QXFZa0xCNEpncGtpUUh5RW10TWlSUT09
","semadgoias","informativo","meio-ambiente","sim"
"A Semad anunciou a composição do Conselho Consultivo da Área de Proteção Ambiental (APA) de Pouso Alto  em conformidade com o que estabelece a Instrução Normativa nº 10/2023.

O conselho é formado por representantes de órgãos/entidades públicas e representantes da sociedade civil organizada.

A solicitação para que os nomes fossem indicados foi feita no Edital de Convocação Nº 5/2023.

Após vencimento do prazo final de recebimento dos ofícios  conforme estabelecido por este Edital  a Presidência do Conselho Consultivo validará as novas indicações em reunião do Conselho.

@pesj_serradejaragua @m.moura76 @erickolailat @caiocns @bento_jrocha @robsondisarz @jorgewerneck @andrea_vulcanis @parquealtamiro @jaqueramosbio @inararibas @parque_mata_atlantica @pep_pireneus @pearaguaia123 @peap_aguasdoparaiso @peal_aguaslindas @parqueserradouradaoficial @serra_de_caldas_novas_pescan @mauricio_v_t
","semadgoias","informativo","outros","sim"
"RESÍDUOS DA CONSTRUÇÃO CIVIL | Dados reunidos pela Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável (Semad) apontam que 86% dos resíduos da construção civil são descartados de modo irregular em Goiás.

A informação consta no mais recente monitoramento do Plano Estadual de Resíduos Sólidos (Pers)  que foi realizado em dezembro do ano passado a partir de consultas aos municípios goianos.

Para regulamentar o descarte  a Semad propôs uma minuta de decreto que está disponível para consulta pública e que está aberto a contribuições por meio de um formulário até o dia 29 de fevereiro de 2024.

Participe!

LINK PARA ACESSAR A MINUTA
https://drive.google.com/file/d/1XUvL9UL6py0ZR_vHyOQIcCFknDar6nEz/view?usp=sharing

LINK PARA FAZER SUAS CONTRIBUIÇÕES
https://docs.google.com/forms/d/e/1FAIpQLSedHyA9zDkJ6eKasLMIBoNYN-pGNu9hC2eYWO4eIU_T0qS3gg/viewform

@kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury @bento_jrocha @mpdegoias @andrea_vulcanis @jorgewerneck @fernandaandreozi @robsondisarz
","semadgoias","informativo","poluição","não"
"RESÍDUOS DA CONSTRUÇÃO CIVIL | Hoje  a Semad visitou uma unidade de processamento de resíduos da construção civil na cidade de Catalão. 

Para quem não sabe  esses locais reciclam todos os resíduos provenientes de construções  reformas  reparos e demolições  transformando o entulho em materiais que podem ser reutilizados.

Segundo a superintendente de desenvolvimento sustentável e resíduos sólidos da Semad  Kaoara Batista  todas as cidades do Estado deveriam adotar essa medida.

""É uma solução que as prefeituras deveriam adotar para reduzir a quantidade de resíduos destinados aos chamados pontos de descarte irregular  lixões e aterros sanitários. Esses resíduos possuem um grande valor agregado""  afirma. Em Catalão  a empresa que faz a operação de reciclagem desse material é a Renove.

Reunião pública

Também nesta quinta-feira  a secretaria promoveu uma reunião pública na qual apresentou e recebeu sugestões para uma proposta de regulamentação da gestão de resíduos da construção civil em Goiás  com o objetivo de reduzir seu impacto no meio ambiente!

@rnvresiduos @nelsonsiqueira @kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury @bento_jrocha @robsondisarz @andrea_vulcanis @robsondisarz @jorgewerneck
","semadgoias","informativo","outros","sim"
"FIM DOS LIXÕES | A gerente de Desenvolvimento e Inovação Ambiental da Semad  Nara Chaves  explica neste vídeo como acessar o sistema Ipê para requerer a licença de encerramento de lixões em Goiás. 

O pedido de licença é uma das etapas previstas no decreto 10.367/2023  que instituiu o programa Lixão Zero e estabeleceu as fases transitória e definitiva a serem cumpridas pelos municípios goianos. 

Na fase provisória  as prefeituras devem pedir a licença de encerramento do lixão  iniciar um plano de reabilitação da área  informar à Semad um projeto de coleta seletiva que alcance pelo menos 10% da população já no primeiro ano  e monitorar os recursos hídricos da área do lixão a fim de evitar danos ambientais. 

Na fase definitiva  serão criados aterros que vão atender mais de um município ao mesmo tempo. A governança deles será compartilhada pelos municípios e pelo Governo de Goiás. A regionalização partiu do entendimento de que a operação dos aterros exige recursos humanos e financeiros que muitas cidades não têm.

@kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury @bento_jrocha @mpdegoias @andrea_vulcanis @jorgewerneck @fernandaandreozi @robsondisarz @natalialino @narachavesx
","semadgoias","informativo","poluição","sim"
"Atenção  representantes municipais  estejam atentos ao prazo final de entrega da documentação comprobatória para o ICMS Ecológico de 2024.

O ICMS Ecológico é um mecanismo tributário que possibilita aos municípios o acesso a parcelas maiores dos recursos financeiros arrecadados pelos Estados por meio do Imposto sobre Circulação de Mercadorias e Serviços (ICMS). Isso ocorre em virtude do atendimento a determinados critérios ambientais estabelecidos em leis estaduais  proporcionando benefícios adicionais aos municípios em comparação aos direitos já estabelecidos.

Em caso de dúvidas  entre em contato com a Gerência de Apoio aos Municípios e Credenciamento para o Licenciamento Ambiental:
(62) 99944-7392
","semadgoias","informativo","outros","sim"
"Por mais memórias vivas 
","florestal_brasil","campanha","meio-ambiente","sim"
